subject,violation,linear_interference,congruency,number,structure,feature,false_responses,total_trials,trials_per_construction,trials_per_combination,error_per_construction,error_total,error_per_combination
7,0,0,1,plur,pp,animacy,4,468,159,19,2.515723270440252,0.8547008547008548,21.052631578947366
7,0,1,0,sing,obj,number,3,468,153,20,1.9607843137254901,0.641025641025641,15.0
7,0,0,1,plur,obj,number,5,468,153,17,3.2679738562091507,1.0683760683760684,29.411764705882355
7,1,1,1,plur,pp,animacy,3,468,159,20,1.8867924528301887,0.641025641025641,15.0
7,0,1,0,plur,pp,number,2,468,156,19,1.282051282051282,0.4273504273504274,10.526315789473683
7,1,1,1,plur,pp,number,9,468,156,19,5.769230769230769,1.9230769230769231,47.368421052631575
7,0,0,1,sing,pp,number,1,468,156,20,0.641025641025641,0.2136752136752137,5.0
7,1,1,1,plur,obj,number,11,468,153,19,7.18954248366013,2.3504273504273505,57.89473684210527
7,0,1,0,sing,pp,animacy,2,468,159,20,1.257861635220126,0.4273504273504274,10.0
7,1,1,1,sing,pp,animacy,4,468,159,20,2.515723270440252,0.8547008547008548,20.0
7,1,0,0,sing,obj,number,13,468,153,18,8.49673202614379,2.7777777777777777,72.22222222222221
7,0,0,1,plur,pp,number,2,468,156,20,1.282051282051282,0.4273504273504274,10.0
7,0,1,0,plur,pp,animacy,2,468,159,20,1.257861635220126,0.4273504273504274,10.0
7,0,0,1,sing,pp,animacy,1,468,159,20,0.628930817610063,0.2136752136752137,5.0
7,0,1,0,sing,pp,number,0,468,156,19,0.0,0.0,0.0
8,0,0,1,plur,obj,number,2,473,157,19,1.2738853503184715,0.42283298097251587,10.526315789473683
8,0,1,0,plur,pp,number,1,473,157,20,0.6369426751592357,0.21141649048625794,5.0
8,1,0,0,plur,pp,animacy,5,473,159,20,3.1446540880503147,1.0570824524312896,25.0
